Date;OS;apiname;London;Paris;Frankfurt;Madrid;mem;cpu
20121115;linux;essential-6-4;0.172;0.172;0.172;0.172;6;4
20121115;linux;essential-30-10;0.743;0.743;0.743;0.743;30;10
20121115;linux;essential-100-50;2.674;2.674;2.674;2.674;100;50
20121115;linux;essential-500-100;11.597;11.597;11.597;11.597;500;100
20121115;linux;essential-1000-500;47.569;47.569;47.569;47.569;2000;500
20121115;linux;enterprise-6-4;0.347;0.347;0.347;0.347;6;4
20121115;linux;enterprise-30-10;1.389;1.389;1.389;1.389;30;10
20121115;linux;enterprise-100-50;5.208;5.208;5.208;5.208;100;50
20121115;linux;enterprise-500-100;20.833;20.833;20.833;20.833;500;100
20121115;linux;enterprise-1000-500;86.806;86.806;86.806;86.806;2000;500
