Date;currency;OS;apiname;Interxion-Madrid;mes;
20121121;EUR;linux;DC 4 gigas;0.249;179;
20121121;EUR;linux;DC 6 gigas;0.360;259;
20121121;EUR;linux;DC 8 gigas;0.485;349;
20121121;EUR;linux;DC 12 gigas;0.693;499;
20121121;EUR;linux;DC 16 gigas;0.901;649;
20121121;EUR;linux;DC 24 gigas;2.638;1899;
20121121;EUR;linux;DC 32 gigas;1.526;1099;
20121121;EUR;linux;DC 48 gigas;2.151;1549;
20121121;EUR;linux;DC 64 gigas;2.638;1899;
20121121;EUR;linux;DC 96 gigas;3.471;2499;
;;;;;;
20120831;EUR;linux;DC 1 giga;0.082;59;
20120831;EUR;linux;DC 2 gigas;0.138;99;
20120831;EUR;linux;DC 4 gigas;0.249;179;
20120831;EUR;linux;DC 6 gigas;0.360;259;
20120831;EUR;linux;DC 8 gigas;0.485;349;
20120831;EUR;linux;DC 12 gigas;0.693;499;
20120831;EUR;linux;DC 16 gigas;0.901;649;
20120831;EUR;linux;DC 32 gigas;1.526;1099;
20120831;EUR;linux;DC 64 gigas;2.638;1899;
20120831;EUR;linux;DC 96 gigas;3.471;2499;
