Date;currency;OS;apiname;price;Memory;VPUs
20121129;USD;linux;TM-1VPU-0.5G;0.035;0.5;1
20121129;USD;linux;TM-1VPU-1.0G;0.06;1;1
20121129;USD;linux;TM-1VPU-1.5G;0.09;1.5;1
20121129;USD;linux;TM-1VPU-2.0G;0.12;2;1
20121129;USD;linux;TM-1VPU-4.0G;0.217;4;1
20121129;USD;linux;TM-1VPU-8.0G;0.401;8;1
20121129;USD;linux;TM-1VPU-12.0G;0.602;12;1
20121129;USD;linux;TM-1VPU-16.0G;0.803;16;1
20121129;USD;linux;TM-2VPU-0.5G;0.04;0.5;2
20121129;USD;linux;TM-2VPU-1.0G;0.07;1;2
20121129;USD;linux;TM-2VPU-1.5G;0.105;1.5;2
20121129;USD;linux;TM-2VPU-2.0G;0.141;2;2
20121129;USD;linux;TM-2VPU-4.0G;0.271;4;2
20121129;USD;linux;TM-2VPU-8.0G;0.482;8;2
20121129;USD;linux;TM-2VPU-12.0G;0.686;12;2
20121129;USD;linux;TM-2VPU-16.0G;0.844;16;2
20121129;USD;linux;TM-4VPU-0.5G;0.045;0.5;4
20121129;USD;linux;TM-4VPU-1.0G;0.08;1;4
20121129;USD;linux;TM-4VPU-1.5G;0.12;1.5;4
20121129;USD;linux;TM-4VPU-2.0G;0.161;2;4
20121129;USD;linux;TM-4VPU-4.0G;0.301;4;4
20121129;USD;linux;TM-4VPU-8.0G;0.567;8;4
20121129;USD;linux;TM-4VPU-12.0G;0.762;12;4
20121129;USD;linux;TM-4VPU-16.0G;0.899;16;4
20121129;USD;linux;TM-8VPU-0.5G;0.049;0.5;8
20121129;USD;linux;TM-8VPU-1.0G;0.1;1;8
20121129;USD;linux;TM-8VPU-1.5G;0.135;1.5;8
20121129;USD;linux;TM-8VPU-2.0G;0.2;2;8
20121129;USD;linux;TM-8VPU-4.0G;0.359;4;8
20121129;USD;linux;TM-8VPU-8.0G;0.634;8;8
20121129;USD;linux;TM-8VPU-12.0G;0.824;12;8
20121129;USD;linux;TM-8VPU-16.0G;0.932;16;8
20121129;USD;mswin;TM-1VPU-0.5G;0.042;0.5;1
20121129;USD;mswin;TM-1VPU-1.0G;0.072;1;1
20121129;USD;mswin;TM-1VPU-1.5G;0.108;1.5;1
20121129;USD;mswin;TM-1VPU-2.0G;0.144;2;1
20121129;USD;mswin;TM-1VPU-4.0G;0.261;4;1
20121129;USD;mswin;TM-1VPU-8.0G;0.482;8;1
20121129;USD;mswin;TM-1VPU-12.0G;0.723;12;1
20121129;USD;mswin;TM-1VPU-16.0G;0.964;16;1
20121129;USD;mswin;TM-2VPU-0.5G;0.048;0.5;2
20121129;USD;mswin;TM-2VPU-1.0G;0.084;1;2
20121129;USD;mswin;TM-2VPU-1.5G;0.126;1.5;2
20121129;USD;mswin;TM-2VPU-2.0G;0.17;2;2
20121129;USD;mswin;TM-2VPU-4.0G;0.326;4;2
20121129;USD;mswin;TM-2VPU-8.0G;0.579;8;2
20121129;USD;mswin;TM-2VPU-12.0G;0.824;12;2
20121129;USD;mswin;TM-2VPU-16.0G;1.013;16;2
20121129;USD;mswin;TM-4VPU-0.5G;0.054;0.5;4
20121129;USD;mswin;TM-4VPU-1.0G;0.096;1;4
20121129;USD;mswin;TM-4VPU-1.5G;0.144;1.5;4
20121129;USD;mswin;TM-4VPU-2.0G;0.194;2;4
20121129;USD;mswin;TM-4VPU-4.0G;0.362;4;4
20121129;USD;mswin;TM-4VPU-8.0G;0.681;8;4
20121129;USD;mswin;TM-4VPU-12.0G;0.915;12;4
20121129;USD;mswin;TM-4VPU-16.0G;1.079;16;4
20121129;USD;mswin;TM-8VPU-0.5G;0.059;0.5;8
20121129;USD;mswin;TM-8VPU-1.0G;0.12;1;8
20121129;USD;mswin;TM-8VPU-1.5G;0.162;1.5;8
20121129;USD;mswin;TM-8VPU-2.0G;0.24;2;8
20121129;USD;mswin;TM-8VPU-4.0G;0.431;4;8
20121129;USD;mswin;TM-8VPU-8.0G;0.761;8;8
20121129;USD;mswin;TM-8VPU-12.0G;0.989;12;8
20121129;USD;mswin;TM-8VPU-16.0G;1.119;16;8
